Date,Stocks_Avg_Return,Cryptos_Avg_Return,Stocks_Avg_Volatility,Cryptos_Avg_Volatility,Stocks_Total_Volume,Cryptos_Total_Volume
2020-01-02,,,1.214944839477538,140.37519073486328,359041900,28834792721
2020-01-06,0.016731053656084734,0.12239610064268819,1.5858891805013033,190.41138458251953,351618200,32370008719
2020-01-10,0.027897240667605402,0.0243917234583075,1.067112604777024,224.2131118774414,392111300,37799400047
2020-01-17,0.028310928929948232,0.13981848571746563,1.0794982910156297,145.5496368408203,422198900,51369231146
2020-01-24,0.034478574626119494,-0.04970825698882435,1.71221923828125,127.69293975830078,437165600,35055584188
2020-01-27,-0.019777328697076733,0.0516565608723231,1.5609448750813755,193.2198944091797,436631500,39651814538
2020-01-28,0.01927579608809187,0.04109521555175775,1.4018885294596355,227.88741302490234,395221500,46171619467
2020-02-07,0.15043354779563853,0.15478236689776512,2.340498606363932,59.775299072265625,475542500,51196161723
2020-02-11,0.022751555957053467,0.0505088211651372,1.8318888346354214,249.3236465454102,384705700,54612755352
2020-02-12,0.006289854233769501,0.0684266366371858,1.4813868204752652,113.86309814453125,360753900,67989353216
2020-02-14,0.008052976569308331,0.034763922643638,1.4237785339355444,109.37791442871094,367643100,66896517625
2020-02-18,0.02146400844298663,-0.01224711025859445,1.7418899536132812,275.6424865722656,457168700,73782501140
2020-02-21,0.0010935965394221342,-0.05144318283663195,2.4963340759277344,72.29362487792969,437202000,61798140805
2020-02-26,-0.08543932614062633,-0.1198485602219993,2.6786677042643228,339.3673553466797,513829300,76655667963
2020-03-05,-0.032271721545205634,0.022587726566376948,2.13877741495768,197.2616729736328,445327300,57899346382
2020-03-27,-0.15225495096722988,-0.35158618044508083,2.105499267578127,166.5497589111328,527635800,45981884996
2020-03-30,0.012788069991835333,-0.006945690301851,2.09639104207357,311.2916069030762,470469900,48942774831
2020-04-01,-0.041385729544275,0.02402942952625885,2.5284996032714795,208.0519027709961,458954400,52802990701
2020-04-06,0.0695431002531056,0.17382598570930297,2.797832489013672,257.30982208251953,540811400,68533287140
2020-04-08,0.033199037329715596,0.014648909554495,1.5898297627766926,105.81752014160156,438281200,54626360385
2020-04-09,0.017039633514091466,-0.0074955230630034,1.4380544026692708,83.63233184814453,459514800,49716835388
2020-04-20,0.16922020687350525,-0.024406147515708854,2.570443471272791,210.27493286132812,466628200,59013795271
2020-04-22,-0.011557854436035268,0.046988944798446494,2.1981074015299575,145.00419616699216,413588900,51243820261
2020-04-23,-0.008276627988175035,0.028606454091559298,1.9616686503092353,209.46932220458984,424696900,64776522348
2020-04-24,0.020340460497580867,0.01952676188991745,1.864667256673177,72.501220703125,400839200,51425081314
2020-04-28,0.001744387332448268,0.041213278598962344,2.834387461344401,43.82891082763672,445722800,51405467388
2020-04-29,0.032998057959333735,0.11041155157214375,2.291831970214844,553.0173568725586,472352800,86598600962
2020-05-05,-0.009775954261169865,-0.012013782424790249,2.092613220214839,106.66769409179688,467476700,62153151762
2020-05-06,0.014486537463058433,0.00818173800174705,1.62588755289714,226.1277313232422,371537600,69715430730
2020-05-07,0.0046843146586812,0.057006012726264293,1.349278767903641,433.3297119140625,356058700,84707445217
2020-05-08,0.026451489381784533,-0.0038153533738213004,1.8310000101725308,118.53363037109375,439267900,72225887398
2020-05-11,0.006054829660558801,-0.1266028849669637,2.4768333435058594,334.8957290649414,458924400,77174460449
2020-05-12,-0.011783981181727235,0.020924506618131,2.582553863525393,193.07721710205078,462402700,58042443817
2020-05-14,5.936734318633466e-06,0.08878721415797916,2.199000040690102,272.7410888671875,437124200,76577432498
2020-05-15,-0.0007762864808587994,-0.0388808258163629,1.9624455769856723,252.12020111083984,408824400,64761144419
2020-05-18,0.016164502610337566,0.0696668186988903,2.0168329874674527,172.23514556884766,397309400,59238706824
2020-05-19,-0.0010589818207655001,-0.0023764675463312,1.7483317057291667,150.44285583496094,332687100,53600481734
2020-05-20,0.016212690668261632,-0.01844724158608215,1.1112225850423176,182.16689300537104,301106300,49276415214
2020-05-21,-0.0043964940840900335,-0.04747184047787855,2.6112798055012973,351.7951354980469,388795800,52634481761
2020-05-22,-0.003514819882868267,0.0237749984339292,1.4248898824055989,117.42426300048834,288957700,41852365813
2020-05-26,-0.0035003246315082337,-0.03163456622165915,1.8637746175130208,120.08104705810547,318231500,39743928237
2020-05-27,0.00042724717041363325,0.036817937838436204,2.8104451497395906,188.12072753906253,387325700,43371571658
2020-05-28,-0.0069982149900567675,0.04505215952263835,2.142279307047519,205.94807434082034,306198800,46579542718
2020-05-29,0.0174794640818289,-0.0026485621555562,1.8103879292805989,100.15347290039061,400197900,45162458601
2020-06-01,0.03320186319855944,0.09819810871821985,1.972110748291018,383.2071228027344,363461700,49150629004
2020-06-02,-0.004410919311029133,-0.05113233786559405,1.6830546061197917,370.38311767578125,341724800,52919359676
2020-06-03,0.0031719169647203,0.021329343284640798,1.168613433837893,109.86378479003905,277153700,34869220079
2020-06-04,-0.012279039399909967,0.0079576725028972,2.191276550292971,185.7634735107422,279849900,36092219376
2020-06-05,0.020734413221387468,-0.0134475411192077,2.0202229817708406,106.33397674560545,320556900,32803592560
2020-06-08,0.0316684427085877,0.0160272672308218,2.1418889363606772,55.76145172119142,387688900,29563129611
2020-06-09,0.0174223524841665,-0.0015999513149274499,3.5018323262532554,88.82665252685548,422055400,32164388571
2020-06-11,-0.0019378796213703336,-0.051156603823431096,4.5943857828776045,347.58692169189453,556411900,42603672300
2020-06-12,-0.011677883695428269,0.02102739748542755,4.775610605875651,132.1619415283203,560319000,31479519524
