Date,AAPL_Adj_Close,AAPL_Volume,AAPL_Volatility,AAPL_Adj_Close_Daily_Return,TSLA_Adj_Close,TSLA_Volume,TSLA_Volatility,TSLA_Adj_Close_Daily_Return,AMZN_Adj_Close,AMZN_Volume,AMZN_Volatility,AMZN_Adj_Close_Daily_Return,BTC-USD_Adj_Close,BTC-USD_Volume,BTC-USD_Volatility,BTC-USD_Adj_Close_Daily_Return,ETH-USD_Adj_Close,ETH-USD_Volume,ETH-USD_Volatility,ETH-USD_Adj_Close_Daily_Return
2020-01-02,72.7960205078125,135480400,1.3525009155273438,,28.68400001525879,142981500,0.5993328094482386,,94.90049743652344,80580000,1.6930007934570312,,6985.47021484375,20802083465,276.88525390625,,127.4101791381836,8032709256,3.8651275634765483,
2020-01-06,72.6627197265625,118387200,1.8024978637695312,-0.0018311547845626386,30.1026668548584,151995000,0.7706680297851598,0.049458472976047,95.1439971923828,81236000,2.1845016479492188,0.0025658427767698555,7769.21923828125,23276261598,372.57421875,0.11219703174341444,144.3041534423828,9093747121,8.248550415039062,0.13259516954196204
2020-01-10,75.21487426757812,140644800,1.1050033569335938,0.03512330051255508,31.87666702270508,194392500,0.749334335327152,0.05893166131758765,94.15799713134766,57074000,1.3470001220703267,-0.010363239827326454,8166.55419921875,28714583844,439.779296875,0.05114219958933752,143.96377563476562,9084816203,8.646926879882812,-0.002358752672722564
2020-01-17,77.25080871582031,137816400,0.93499755859375,0.02706824239311123,34.03333282470703,204436500,0.8339996337890625,0.0676565652383232,93.23600006103516,79946000,1.4694976806640767,-0.0097920208415897,8929.0380859375,36372139320,280.8056640625,0.09336665968514524,170.7799530029297,14997091826,10.293609619140625,0.18627031174978614
2020-01-24,77.14898681640625,146537600,1.4524993896484375,-0.0013180690416928487,37.654666900634766,215304000,1.3066635131835938,0.10640550822864969,93.08200073242188,75324000,2.3774948120117188,-0.0016517153085983116,8445.4345703125,24397913026,247.826171875,-0.05416076300387107,163.05117797851562,10657671162,7.5597076416015625,-0.045255750973777764
2020-01-27,74.88040161132812,161940000,1.7224960327148438,-0.029405249487938767,37.20133209228516,204121500,1.6773338317871094,-0.012039272835579373,91.41699981689452,70570000,1.2830047607421733,-0.01788746376771222,8909.8193359375,28647338393,380.41796875,0.05498648550986496,170.93089294433594,11004476145,6.021820068359375,0.048326636234781395
2020-01-28,76.99874114990234,162234000,1.5524978637695312,0.028289639117717424,37.79333114624024,176827500,1.2486648559570312,0.015913383222044608,92.6624984741211,56160000,1.4045028686523438,0.01362436592451366,9358.58984375,34398744403,450.142578125,0.05036808165148732,176.3703155517578,11772875064,5.6322479248046875,0.03182234945202822
2020-02-07,77.74996185302734,117684000,1.3499984741210938,0.009756272529995114,49.87133407592773,255952500,2.6499977111816406,0.3195802688826763,103.96399688720705,101906000,3.0214996337890625,0.12196410197424412,9795.943359375,34522718159,108.7138671875,0.04673284361501118,222.7260589599609,16673443564,10.83673095703125,0.2628318901805191
2020-02-11,77.6479263305664,94323200,1.2975006103515625,-0.0013123546305247036,51.62533187866211,175462500,1.7006683349609375,0.03517046085159792,107.54000091552734,114920000,2.497497558593764,0.0343965616500872,10208.236328125,37648059389,480.7177734375,0.042088133181724,235.8511962890625,16964695963,17.929519653320398,0.05892950914855044
2020-02-12,79.49188995361328,113730400,1.4375,0.023747751037119347,51.15266799926758,180337500,1.7586669921875,-0.009155657933695438,108.0,66686000,1.2479934692382955,0.004277469597884664,10326.0546875,43444303830,191.2236328125,0.011541499979814906,265.4061279296875,24545049386,36.5025634765625,0.12531177329455678
2020-02-14,78.94526672363281,80113600,0.782501220703125,-0.006876465389103803,53.33533477783203,235405500,1.8313331604003835,0.042669656616849405,106.74349975585938,52124000,1.657501220703125,-0.01163426151982061,10312.1162109375,43338264162,196.4619140625,-0.0013498356327100725,284.2174987792969,23558253463,22.293914794921875,0.07087768091998603
2020-02-18,77.49972534179688,152531200,1.285003662109375,-0.018310678294322646,57.22666549682617,245725500,1.8426666259765625,0.0729597130158357,107.78350067138672,58912000,2.0979995727539062,0.009742990607446878,10141.99609375,47271023953,529.552734375,-0.016497110167073448,281.944580078125,26511477187,21.73223876953125,-0.007997110350115522
2020-02-21,76.05419921875,129554000,2.4875030517578125,-0.018652016077110867,60.06666564941406,214722000,2.173999786376953,0.04962721710118512,104.79850006103516,92926000,2.8274993896484375,-0.027694411405807973,9686.44140625,40930547513,133.271484375,-0.04491765558662908,265.6006164550781,20867593292,11.315765380859375,-0.057968710086634956
2020-02-26,71.09810638427734,198054800,2.845001220703125,-0.06516527536129535,51.91999816894531,211282500,2.4800033569335938,-0.13562709686630026,98.97949981689452,104492000,2.71099853515625,-0.055525606194283594,8820.5224609375,50420050762,650.3515625,-0.08939495001268283,225.6802673339844,26235617201,28.383148193359375,-0.15030217043131588
